question_id,category,answer_type,question,passage_available,answer,correctness,faithfulness,completeness,hallucination_count,hallucination_rate,notes
Q06,astronomy,baseline,How do black holes form and what happens at the event horizon?,yes,"Black holes form when very massive stars die in a supernova explosion and the remaining core collapses under its own gravity. The event horizon is the boundary around a black hole beyond which nothing can escape, not even light. The gravitational pull inside a black hole becomes infinite at the singularity at its center. Time passes more slowly near a black hole due to its intense gravity. Some black holes are millions of times more massive than our sun and are found at the centers of most galaxies.",3,3,4,1,0.2,Conflates 'infinite gravity' with singularity loosely. Omits Schwarzschild radius and time-dilation detail.
Q06,astronomy,rag,How do black holes form and what happens at the event horizon?,yes,"Black holes form when massive stars—typically those exceeding 20 solar masses—exhaust their nuclear fuel and undergo gravitational collapse. The stellar core collapses to a singularity while outer layers explode as a supernova. Supermassive black holes, containing millions to billions of solar masses, likely formed through mergers and accretion in the early universe. The event horizon is not a physical surface but a conceptual boundary defined by the Schwarzschild radius—the distance at which escape velocity equals the speed of light. Nothing, including light, can escape once past this boundary. To a distant observer, infalling objects appear to slow and redshift due to extreme gravitational time dilation.",5,5,5,0,0.0,"Correctly explains Schwarzschild radius, escape velocity, and gravitational time dilation."
Q07,biotechnology,baseline,What is CRISPR-Cas9 and how is it used in gene editing?,yes,"CRISPR-Cas9 is a revolutionary gene-editing technology that allows scientists to precisely modify DNA sequences. It works like molecular scissors—the Cas9 protein cuts DNA at a specific location guided by an RNA molecule. Scientists can use this to remove, add, or alter DNA segments. It was originally discovered as part of the bacterial immune system. CRISPR has potential applications in treating genetic diseases like cystic fibrosis and sickle cell disease, developing better crops, and potentially eliminating certain viruses.",4,3,4,1,0.2,Claims CRISPR treats cystic fibrosis (not proven/approved). Misses HDR vs NHEJ distinction.
Q07,biotechnology,rag,What is CRISPR-Cas9 and how is it used in gene editing?,yes,"CRISPR-Cas9 is a genome-editing tool adapted from a natural bacterial immune defense system. Bacteria use CRISPR sequences—short repeating DNA segments with stored viral fragments—and Cas9, an endonuclease, to recognize and cut invading viral DNA. Researchers harness this by designing a custom guide RNA (gRNA) complementary to any genomic target. Delivered into cells, the Cas9-gRNA complex binds and cleaves the target DNA. Cells repair the break via non-homologous end joining (introducing mutations) or, with a provided repair template, via homology-directed repair (inserting or correcting sequences). Applications span treatment of genetic diseases, development of disease-resistant crops, and cancer immunotherapy.",5,5,5,0,0.0,Correctly explains NHEJ vs HDR repair pathways. Lists verified applications only.
Q08,technology,baseline,How does the internet work at a technical level?,yes,"The internet works by connecting millions of computers and devices through a global network using protocols that standardize communication. Data is broken into small packets that travel independently across the network and are reassembled at the destination. The TCP/IP protocol suite manages this process. Each device has a unique IP address, and DNS servers translate website names into these addresses. Data can travel through fiber optic cables, copper wires, or wirelessly through radio waves. The World Wide Web, invented by Tim Berners-Lee in 1989, uses HTTP to serve web pages over the internet.",4,4,4,0,0.0,Accurate. Adds Tim Berners-Lee/1989 detail (correct but not from passage).
Q08,technology,rag,How does the internet work at a technical level?,yes,"The internet is a global network in which computers communicate using standardized protocols. Data travels physically as electrical signals, fiber-optic light pulses, or radio waves. The TCP/IP protocol suite governs how data is packaged into packets, addressed, routed across networks, and reassembled at destinations. Each device is assigned an IP address; the Domain Name System (DNS) translates human-readable domains into these addresses. Routers forward packets using routing tables and protocols such as BGP. The application layer includes HTTP/HTTPS for web browsing, SMTP for email, and FTP for file transfer. The modern internet processes roughly 5 exabytes of data per day.",5,5,5,0,0.0,"Includes BGP routing, 5 exabytes/day figure, and all protocol examples from passage."
Q09,astronomy,baseline,What causes the Northern Lights (Aurora Borealis)?,yes,"The Northern Lights are caused by interactions between the solar wind—charged particles emitted by the Sun—and Earth's magnetic field. When these particles enter the atmosphere near the poles, they collide with gas molecules and cause them to emit light. Different gases produce different colors: oxygen produces green and red light, while nitrogen produces blue and purple hues. Auroras are most visible at high latitudes near the Arctic and Antarctic circles, and their intensity varies with the solar cycle, roughly every 11 years.",4,4,4,0,0.0,"Accurate. Mentions 11-year solar cycle (correct, not in passage)."
Q09,astronomy,rag,What causes the Northern Lights (Aurora Borealis)?,yes,"The Aurora Borealis results from interactions between charged particles in the solar wind and Earth's upper atmosphere. Most solar wind is deflected by Earth's magnetosphere, but at polar regions, magnetic field lines guide energetic electrons and protons into the atmosphere at altitudes of 100–300 km. These particles collide with atmospheric oxygen and nitrogen, exciting electrons to higher energy states. As electrons return to their ground state, they emit photons at specific wavelengths: oxygen produces the characteristic green aurora at 557.7 nm and red aurora at higher altitudes, while nitrogen produces blue and purple hues. Auroral activity intensifies during solar storms and coronal mass ejections.",5,5,5,0,0.0,"Includes altitude range (100–300 km), specific wavelength (557.7 nm), and CME detail."
Q10,medicine,baseline,How does antibiotic resistance develop in bacteria?,yes,"Antibiotic resistance occurs when bacteria evolve mechanisms to survive exposure to antibiotics that would normally kill them. This happens through random mutations and natural selection—bacteria that happen to have resistance survive and reproduce, passing on their resistant traits. Overuse of antibiotics, especially not completing courses of treatment, accelerates this process. Resistant bacteria can also share resistance genes with other bacteria. This is a growing global health crisis, as common infections may soon become untreatable. The WHO considers antibiotic resistance one of the biggest threats to global health.",4,3,4,1,0.2,"Claims incomplete treatment is main driver (debated). Omits specific mechanisms (efflux pumps, etc.)."
Q10,medicine,rag,How does antibiotic resistance develop in bacteria?,yes,"Antibiotic resistance develops through natural selection on bacterial populations. Antibiotics kill susceptible bacteria while rare resistant mutants survive and reproduce, propagating their resistance. Specific mechanisms include enzymatic inactivation (e.g., beta-lactamases that destroy penicillin), modification of the antibiotic's molecular target so the drug cannot bind effectively, efflux pumps that expel antibiotics from bacterial cells, and reduced cell-wall permeability limiting drug entry. Resistance spreads not only vertically through reproduction but also horizontally through gene transfer: bacteria share resistance plasmids across species via conjugation, transformation, or transduction. Overuse and misuse of antibiotics in medicine and agriculture accelerates selection for resistant strains.",5,5,5,0,0.0,Covers all four resistance mechanisms and all three horizontal transfer pathways.
